id_siniestro,id_poliza,id_asegurado,id_vehiculo,id_conductor,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,id_proveedor,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,etiqueta_fraude_simulada
SIN-000001,POL-00218,ASG-00197,VEH-00248,ASG-00183,Generales,Robo,2023-10-19,2023-10-21,7991.58,6432.22,6072.12,Pago Parcial,Centro,Daños en techo por caída de árbol durante tormenta eléctrica.,Sí,PRV-0024,Intermediario Manta #24,249,116,2,0,0
SIN-000002,POL-00232,ASG-00154,,ASG-00154,Vida,Enfermedad Grave,2023-10-08,2023-10-10,49680.57,35381.2,0.0,Pago Total,Oriente,"El vehículo fue sustraído durante la madrugada, el asegurado no recuerda detalles exactos del lugar.",No,PRV-0015,Perito Portoviejo #15,66,299,2,1,1
SIN-000003,POL-00263,ASG-00238,VEH-00138,ASG-00238,Hogar,Daño por Agua,2024-07-16,2024-07-19,912.3,781.27,705.18,Pago Total,Costa,Impacto frontal contra poste de alumbrado al intentar esquivar un peatón.,Sí,PRV-0029,Perito Riobamba #29,283,82,3,1,0
SIN-000004,POL-00148,ASG-00232,,ASG-00232,Vida,Fallecimiento,2024-05-11,2024-05-16,9806.03,5920.48,0.0,Cierre Sin Consecuencia,Sur,"El asegurado fue víctima de asalto, le sustrajeron el vehículo con amenaza.",Sí,PRV-0004,Grúa Quito #4,37,328,5,2,0
SIN-000005,POL-00049,ASG-00027,VEH-00214,ASG-00012,Salud,Cirugía,2025-11-28,2025-12-27,103156.97,79371.25,72877.95,Pago Total,Costa,"Accidente en madrugada sin testigos, múltiples vehículos involucrados, relatos contradictorios.",Sí,PRV-0027,Abogado Ambato #27,348,17,29,1,1
SIN-000006,POL-00201,ASG-00218,,ASG-00218,Generales,Daño,2023-12-28,2023-12-29,22796.77,21399.78,20045.81,Pago Total,Norte,Incendio del vehículo de origen eléctrico según informe del perito.,Sí,PRV-0015,Perito Portoviejo #15,107,258,1,0,0
SIN-000007,POL-00045,ASG-00041,,ASG-00041,Vida,Fallecimiento,2025-04-03,2025-04-07,31373.53,30802.06,28049.51,Cierre Sin Consecuencia,Costa,Volcadura en carretera rural por exceso de velocidad según informe de tránsito.,Sí,PRV-0010,Grúa Esmeraldas #10,333,32,4,1,0
SIN-000008,POL-00269,ASG-00034,,ASG-00034,Salud,Hospitalización,2024-06-02,2024-06-04,26660.25,18488.84,17492.35,Cierre Sin Consecuencia,Oriente,El asegurado reporta que un vehículo no identificado impactó su auto estacionado.,Sí,PRV-0009,Perito Riobamba #9,186,179,2,2,0
SIN-000009,POL-00045,ASG-00041,,ASG-00226,Vida,Fallecimiento,2024-07-18,2024-07-19,7569.81,5252.75,0.0,Reserva,Oriente,El vehículo fue impactado por otro automóvil en la intersección de la Av. Principal con calle secundaria.,Sí,PRV-0016,Abogado Guayaquil #16,74,291,1,1,0
SIN-000010,POL-00009,ASG-00001,VEH-00206,ASG-00001,Salud,Hospitalización,2025-02-03,2025-02-03,31843.25,34964.19,32227.46,Liquidado,Norte,Volcadura en carretera rural por exceso de velocidad según informe de tránsito.,Sí,PRV-0002,Abogado Quito #2,95,270,0,0,0
SIN-000011,POL-00075,ASG-00038,VEH-00092,ASG-00134,Vida,Fallecimiento,2024-07-27,2024-07-28,5241.24,3180.61,2774.13,Pago Parcial,Sur,Colisión lateral en la autopista debido a cambio de carril imprudente del otro conductor.,Sí,PRV-0010,Grúa Esmeraldas #10,93,272,1,1,0
